Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: PAH; id: 5053;	612349	Maternal	SNV	Undetermined	"{""id"":""chr12"",""data"":""103230662_103352219""}"	Phenylketonuria	261600	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	36870805		x	x	
name: PBX1 ; id: 5087;	176310	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""164,528,597-164,821,060""}"	Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay	617641	AD	GENITOURINARY	Horseshoe kidney, Asplenia, Bicornuate uterus, Diaphragmatic eventration, Pulmonary hypoplasia, Abnormal lung lobation, Overlapping toe, Overlapping fingers . Prenatal and Neonatal demise.	M,F	Candidate	36658419; 32141698			x	
name: PCDH15; id: 65217;	605514	Maternal,Fetal	CNV,SNV	Undetermined	"{""id"":""chr10"",""data"":""55562530_57387702""}"	Usher syndrome	602083	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: PDHA1; id: 5160;	300502	Fetal	CNV,SNV	Undetermined	"{""id"":""chrX"",""data"":""19362010_19379836""}"	Pyruvate dehydrogenase E1-alpha deficiency, 312170 (3), X-linked dominant	312170	XLD	NEUROLOGIC	microcephaly with simplified gyri. Prenatal and Neonatal demise.	M,F	Emerging	29261186	x			
name: PDS5B; id: 23047;	605333	Unknown	CNV,SNV	Undetermined	"{""id"":""chr13"",""data"":""32,586,452-32,778,019""}"					Spontaneous miscarriage	unknown	Candidate	37398382			x	x
name: PEX1; id: 5189;	602136	Fetal	CNV,SNV	LoF	"{""id"":""chr7"",""data"":""92116333_92157845""}"	Peroxisome biogenesis disorder (Zellweger)	214100; 601539	AR	NEUROLOGIC	polymicrogyria and heterotopias in both cerebral and cerebellar hemispheres. Prenatal and Neonatal demise.	M,F	Emerging	32069232; 20301621				x
name: PEX10; id: 5192;	602859	Fetal	SNV	LoF	"{""id"":""chr1"",""data"":""2,335,413-2,345,266""}"	Peroxisome biogenesis disorder (Zellweger)	614870	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621; 32069232				x
name: PEX12; id: 5193;	601758	Fetal	SNV	LoF	"{""id"":""chr17"",""data"":""33,901,814-33,905,590""}"	Peroxisome biogenesis disorder (Zellweger)	614859	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621; 26094004				x
name: PEX13; id: 5194;	601789	Fetal	SNV	LoF	"{""id"":""chr2"",""data"":""61,244,855-61,279,125""}"	Peroxisome biogenesis disorder (Zellweger)	614883; 614885	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621				x
name: PEX14; id: 5195;	601791	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""10,535,007-10,690,815""}"	Peroxisome biogenesis disorder (Zellweger)	614887	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621				x
name: PEX16; id: 9409;	603360	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""45,931,214-45,939,428""}"	Peroxisome biogenesis disorder (Zellweger)	614876	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621				x
name: PEX19; id: 5824;	600279	Fetal	SNV	LoF	"{""id"":""chr1"",""data"":""160,246,597-160,254,941""}"	Peroxisome biogenesis disorder (Zellweger)	614886	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621; 36931687				x
name: PEX2; id: 5828;	170993	Fetal	CNV,SNV	LoF	"{""id"":""chr8"",""data"":""77,892,494-77,913,280""}"	Peroxisome biogenesis disorder (Zellweger)	614866; 614867	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	14630978; 20301621				x
name: PEX26; id: 55670;	608666	Maternal,Fetal	CNV,SNV	LoF	"{""id"":""chr22"",""data"":""18560685_18613905""}"	Peroxisome biogenesis disorder (Zellweger)	614872	AR	NEUROLOGIC	anencephaly, polydactyly, cystic kidney. Prenatal and Neonatal demise.	M,F	Emerging	34406647; 34430430				x
name: PEX3; id: 8504;	603164	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""143,771,942-143,811,753""}"	Peroxisome biogenesis disorder (Zellweger)	614882	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621; 20033294				x
name: PEX5; id: 5830;	600414	Fetal	SNV	LoF	"{""id"":""chr12"",""data"":""7,341,249-7,371,170""}"	Peroxisome biogenesis disorder (Zellweger)	214110	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621				x
name: PEX6; id: 5190;	601498	Fetal	SNV	LoF	"{""id"":""chr6"",""data"":""42,931,603-42,946,919""}"	Peroxisome biogenesis disorder (Zellweger)	614862	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	20301621; 37842507				x
name: PEX7; id: 5191;	601757	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""136,822,592-136,913,934""}"	Peroxisome biogenesis disorder (Zellweger)	614879; 215100	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	26587300; 20301621				x
name: PFKM; id: 5213;	610681	Unknown	CNV,SNV	Undetermined	"{""id"":""chr12"",""data"":""48,499,136-48,540,187""}"	Glycogen storage disease VII	232800	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	7550225; 1533013				x
name: PHF8; id: 23133;	300560	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""53,963,113-54,071,569""}"	Mental retardation syndrome, X-linked, Siderius type, 300263 (3), X-linked recessive	300263	XLR	MULTIPLE >3		M	Known	30993004; 10398231				x
name: PHGDH; id: 26227;	606879	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""120191033_120286849""}"	Neu-Laxova syndrome 1, 256520 (3), Autosomal recessive	256520	AR	METABOLIC	IUGR, severe microcephaly, micrognathia, bulging eyes with absent eyelids, severe ichthyosis of the skin, cleft lip and palate, a very flat nose, a very short neck, and generalized edema.. Prenatal and Neonatal demise.	M,F	Known	34645488	x	x		
name: PHKB; id: 5257;	172490	Fetal	CNV,SNV	Undetermined	"{""id"":""chr16"",""data"":""47,495,210-47,735,434""}"	Phosphorylase kinase deficiency of liver and muscle, AR	261750	AR	METABOLIC	Spontaneous miscarriage	M,F	Candidate	38302665		x	x	
name: PHOX2B; id: 8929;	603851	Fetal	SNV	Undetermined	"{""id"":""chr4"",""data"":""41746098_41750987""}"	Central hypoventilation syndrome, congenital, with or without Hirschsprung disease, 209880 (3), Autosomal dominant, Neuroblastoma with Hirschsprung disease, 613013 (3)	209880	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	31865891		x	x	
name: PIEZO1; id: 9780;	611184	Fetal	SNV	LoF	"{""id"":""chr16"",""data"":""88,781,746-88,851,372""}"	Lymphatic malformation 6	616843	AR	CARDIOVASCULAR	lymphedema, nonimmune hydrops fetalis, lymphatic dysplasia. Prenatal and Neonatal demise.	M,F	Known	35393661; 30244526; 37902181; 7159433; 28518170		x	x	
name: PIF1; id: 80119;	610953	Fetal	SNV	Undetermined	"{""id"":""chr15"",""data"":""65107830_65117867""}"					Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: PIGA; id: 5277;	311770	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""15337572_15353702""}"	Simpson-Golabi-Behmel Syndrome Type 2	300209	XLR	MULTIPLE >3	cardiac arrest, growth abnormalities, facial dysmorphism. Prenatal and Neonatal demise.	M	Known	26545172		x	x	
name: PIGC; id: 5279;	601730	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""172339328_172413230""}"	Glycosylphosphatidylinositol biosynthesis defect 16	617816	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	26036949		x	x	
name: PIGN; id: 23556;	606097	Fetal	CNV,SNV	Undetermined	"{""id"":""chr18"",""data"":""59708396_59854351""}"	PIGN-associated epilepsy/multiple congenital anomalies-hypotonia-seizures syndrome	614080	AR	MULTIPLE >3	hydrops fetalis, interrupted aortic arch, unilateral renal agenesis with contralateral renal dysplasia. Prenatal and Neonatal demise.	M,F	Emerging	30293990		x	x	
name: PIGW; id: 284098;	610275	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""34890588_34895159""}"	GPI biosynthesis defects (GPIBDs)	616025	AR	NEUROLOGIC	Dandy Walker malformation, hydronephrosis, genital hypoplasia. Prenatal and Neonatal demise.	M,F	Known	35788948		x	x	
name: PIK3R2; id: 5296;	603157	Fetal	SNV	Undetermined	"{""id"":""chr19"",""data"":""18263927_18288927""}"	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1	603387	AD	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Emerging	33100332		x	x	
name: PKD1; id: 5310;	601313	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""2138708_2185899""}"	Polycystic kidney disease 1	173900	AD	GENITOURINARY	Prenatal and Neonatal demise.	M,F	Emerging	33100332	x			
name: PKHD1; id: 5314;	606702	Fetal	CNV,SNV	Undetermined	"{""id"":""chr6"",""data"":""51480096_51952423""}"	Polycystic kidney disease 4, with or without hepatic disease	263200	AR	GENITOURINARY	Polycystic kidney disease, and hepatosplenomegaly.. Prenatal and Neonatal demise.	M,F	Known	34645488				x
name: PKP2; id: 5318;	602861	Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""32943678_33049780""}"	Arrhythmogenic right ventricular dysplasia 9	609040	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	29495624	x	x	x	x
name: PLAT; id: 5327;	173370	Fetal	CNV,SNV	Undetermined	"{""id"":""chr8"",""data"":""42032235_42065242""}"	Thrombophilia, familial, due to decreased release of PLAT.			MULTIPLE >3	Brain malformations of dilated third and lateral ventricles, absent choroid plexus, dilated posterior fossa, hypoplastic cerebellum, hydrops fetalis . Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: PLCB3; id: 5331;	600230	Unknown	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""64,251,530-64,269,452""}"	Spondylometaphyseal dysplasia with corneal dystrophy	618961	AR	SKELETAL	Spontaneous miscarriage	unknown	Candidate	37398382		x	x	x
name: PLK1; id: 5347;	602098	Fetal	SNV	Undetermined	"{""id"":""chr16"",""data"":""23688976_23701688""}"					Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: PMM2; id: 5373;	601785	Unknown	CNV,SNV	Undetermined	"{""id"":""chr16"",""data"":""8,797,839-8,849,325""}"	Congenital disorder of glycosylation, type Ia	212065	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30740408; 28139241; 38917675	x	x	x	x
name: POLG; id: 5428;	174763	Fetal	CNV,SNV	Undetermined	"{""id"":""chr15"",""data"":""89859533_89878092""}"	Mitochondrial DNA depletion syndrome	203700; 613662	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Emerging	34645488; 28471437 	x	x	x	x
name: POLR3A; id: 11128;	614258	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr10"",""data"":""79729008_79789303""}"	Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism	607694	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: POLR3B; id: 55703;	614366	Unknown	CNV,SNV	Undetermined	"{""id"":""chr12"",""data"":""106,357,748-106,510,198""}"	Charcot-Marie-Tooth disease, demyelinating; Leukodystrophy, hypomyelinating	619742; 614381	AD,AR	NEUROMUSCULAR	Spontaneous miscarriage	unknown	Candidate	37398382				x
name: POMT1; id: 10585;	607423	Fetal	SNV	Undetermined	"{""id"":""chr9"",""data"":""134378288_134399193""}"	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, 236670 (3), Autosomal recessive	236670	AR	MULTIPLE >3	Ventriculomegaly, severe hydrocephalous. Prenatal and Neonatal demise.	M,F	Emerging	34645488	x	x		
name: POP4; id: 10775;	606114	Unknown	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""29,606,283-29,617,237""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: PORCN; id: 64840;	300651	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""48367349_48379202""}"	Goltz syndrome (GS)/Focal dermal hypoplasia (FDH)	305600	XLD	NEUROLOGIC	microphthalmia. Prenatal and Neonatal demise.	M,F	Known	25026905	x	x		
name: PRKAG2; id: 51422;	602743	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""151253196_151574210""}"	dilated, hypertrophic cardiomyopathy	272120	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	32789579		x	x	
name: PRKRA; id: 8575;	603424	Unknown	CNV,SNV	Undetermined	"{""id"":""chr2"",""data"":""178,431,414-178,451,175""}"	Dystonia 16	612067	AR	NEUROMUSCULAR	Spontaneous miscarriage	unknown	Candidate	37398382			x	
name: PRPF19; id: 27339;	608330	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""60658018_60674060""}"					Nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: PRPS1; id: 5631;	311850	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""106,871,740-106,894,256""}"	Arts syndrome, Phosphoribosylpyrophosphate synthetase superactivity	301835; 300661	XLR	NEUROLOGIC		M	Known	30993004; 8498830; 22246954				x
name: PSAT1; id: 29968;	610936	Fetal	SNV	Undetermined	"{""id"":""chr9"",""data"":""80912040_80945009""}"	Neu-Laxova syndrome 2	616038	AR	MULTIPLE >3	Microcephaly, ichthyosis all over the body, joint contracture, hypertonia, club feet and rocker bottom, lissencephaly and seizures.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: PTGS2; id: 5743;	600262	Unknown	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""186,671,791-186,680,423""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: PTH1R; id: 5745;	168468	Fetal	SNV	LoF	"{""id"":""chr3"",""data"":""46,919,211-46,945,289""}"	Chondrodysplasia, Blomstrand type	215045	AR	SKELETAL	Hydrops fetalis, Preterm birth, Polyhydramnios	M,F	Known	30993004; 3975110; 9268097; 17164305			x	x
name: PTK7; id: 5754;	601890	Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""43044005_43129458""}"				MULTIPLE >3	Brain malformations, unilateral anophthalmia, hepatomegaly, bile duct atresia, Mullerian duct agenesis. Prenatal and Neonatal demise.	M,F	Emerging	30679815		x	x	
name: PTPN11; id: 5781;	176876	Fetal	SNV	dominant negative	"{""id"":""chr12"",""data"":""112856154_112947722""}"	LEOPARD syndrome 1, 151100 (3), Autosomal dominant, Metachondromatosis, 156250 (3), Autosomal dominant, Noonan syndrome 1, 163950 (3), Autosomal dominant	163950	AD	MULTIPLE >3	atrioseptal defect, ventricular septal defect, left kidney in pelvis, ononimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Known	32786180	x	x	x	
name: PTPRQ; id: 374462;	603317	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""80799773_81074052""}"		617663	AR		Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: PTPRS; id: 5802;	601576	Unknown	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""5,205,519-5,340,823""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: PYGM; id: 5837;	608455	Unknown	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""64,746,389-64,760,715""}"	McArdle disease	232600	AR	GENITOURINARY. NEUROMUSCULAR	Prenatal and Neonatal demise.	M,F	Known	101896; 13886062				x
name: RAB27A; id: 5873;	603868	Fetal	CNV,SNV	LoF	"{""id"":""chr15"",""data"":""55,495,164-55,582,011""}"	Griscelli syndrome	607624	AR	NEUROLOGIC, IMMUNOLOGIC		M,F	Known	30993004; 707528; 8597818; 				x
name: RAD51B; id: 5890;	602948	Unknown	CNV,SNV	Undetermined	"{""id"":""chr14"",""data"":""68,286,496-69,149,813""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: RAD51C; id: 5889;	602774	Fetal	CNV,SNV	LoF	"{""id"":""chr17"",""data"":""56,769,934-56,812,972""}"	Fanconi anemia, complementation group O, 613390 (3), Autosomal recessive	613390	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 20400963				x
name: RAG1; id: 5896;	179615	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""36,531,903-36,601,312""}"	Severe combined immunodeficiency, B cell-negative, 601457 (3), Autosomal recessive	601457	AR	IMMUNOLOGIC	Decreased fetal movements, hypoplastic male external genitalia, retrognathia, prefrontal edema, anomalies of the great vessels with pulmonary atresia and dilated tortuous aorta	M,F	Known	30993004; 6019467; 38923535			x	x
name: RAG2; id: 5897;	179616	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""36,613,493-36,619,786""}"	Severe combined immunodeficiency, B cell-negative, 601457 (3), Autosomal recessive	601457	AR	IMMUNOLOGIC	Decreased fetal movements, hypoplastic male external genitalia, retrognathia, prefrontal edema, anomalies of the great vessels with pulmonary atresia and dilated tortuous aorta	M,F	Known	30993004; 9143683; 15032591; 1468748; 2010548; 15731174				x
name: RANGRF; id: 29098;	607954	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""8191814_8193410""}"	Brugada syndrome		AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	29495624	x	x	x	x
name: RAPSN; id: 5913;	601592	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""47459307_47470730""}"	Fetal akinesia deformation sequence, 208150 (3), Autosomal recessive	208150	AR	NEUROMUSCULAR	fetal akinesia deformation sequence, skin edema. Prenatal and Neonatal demise.	M,F	Emerging	30293990			x	x
name: RARS2; id: 57038;	611524	Fetal	CNV,SNV	Undetermined	"{""id"":""chr6"",""data"":""87,513,938-87,589,987""}"	Pontocerebellar hypoplasia, type 6	611523	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	17847012; 33574353				x
name: RBBP6; id: 5930;	600938	Unknown	CNV,SNV	Undetermined	"{""id"":""chr16"",""data"":""24,550,887-24,584,184""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: RBM10; id: 8241;	300080	Fetal	SNV	LoF	"{""id"":""chrX"",""data"":""47,004,620-47,046,212""}"	TARP syndrome, 311900 (3), X-linked recessive	311900	XLR	MULTIPLE >3	Preterm birth, intrauterine growth restriction, persistent left superior vena cava, horseshoe kidney.	M	Known	30993004; 34031074; 20451169; 28577551			x	x
name: RBM20; id: 282996;	613171	Fetal	SNV	Undetermined	"{""id"":""chr10"",""data"":""112404093_112599227""}"	dilated cardiomyopathy	612877	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593		x	x	
name: RBM26; id: 64062;	620081	Unknown	CNV,SNV	Undetermined	"{""id"":""chr13"",""data"":""79,893,003-79,980,390""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: RBM33; id: 155435;	620833	Unknown	CNV,SNV	Undetermined	"{""id"":""chr7"",""data"":""155,437,355-155,574,174""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: REC114; id: 283677;	618421	Maternal	SNV	Undetermined	"{""id"":""chr15"",""data"":""73,735,506-73,852,354""}"	embryo maturation arrest	619176	AR	REPRODUCTIVE	Hydatidiform Mole	M,F	Known	30388401	x			
name: REN; id: 5972;	179820	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""204123943_204159452""}"	Renal tubular dysgenesis	267430	AR	GENITOURINARY	Bilateral renal agenesis. Prenatal and Neonatal demise.	M,F	Emerging	34645488				x
name: RET; id: 5979;	164761	Fetal	CNV,SNV	LoF	"{""id"":""chr10"",""data"":""43,572,517-43,625,799""}"	Central hypoventilation syndrome, congenital, 209880 (3), Autosomal dominant, Medullary thyroid carcinoma, 155240 (3), Autosomal dominant, Multiple endocrine neoplasia IIA, 171400 (3), Autosomal dominant, Multiple endocrine neoplasia IIB, 162300 (3), Autosomal dominant, Pheochromocytoma, 171300 (3), Autosomal dominant	209880; 171400	AD	NEUROLOGIC, RENAL	renal agenesis, stillbirth	M,F	Known	30993004; 21490379			x	x
name: REXO4; id: 57109;	602930	Fetal	CNV,SNV	Undetermined	"{""id"":""chr9"",""data"":""136271181_136283292""}"					Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: RFT1; id: 91869;	611908	Fetal	SNV		"{""id"":""chr3"",""data"":""53,122,499-53,164,451""}"	Congenital disorder of glycosylation, type In, 612015 (3), Autosomal recessive	612015	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 30653653; 19701946; 28139241		x	x	x
name: RFX6; id: 222546;	612659	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""117,198,405-117,253,324""}"	Mitchell-Riley syndrome, 615710 (3), Autosomal recessive	615710	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 15592663; 17321227; 20148032; 19887127				x
name: RHBDL1; id: 9028;	603264	Unknown	CNV,SNV	Undetermined	"{""id"":""chr16"",""data"":""675,671-678,268""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: RIF1; id: 55183;	608952	Unknown	CNV,SNV	Undetermined	"{""id"":""chr2"",""data"":""151,409,902-151,534,435""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: RIPK4; id: 54101;	605706	Fetal	CNV,SNV	LoF	"{""id"":""chr21"",""data"":""43,159,533-43,187,212""}"	Popliteal pterygium syndrome, Bartsocas-Papas type, 263650 (3), Autosomal recessive	263650	AR	NEUROMUSCULAR		M,F	Known	30993004; 22197489; 23074676			x	x
name: RIT1; id: 6016;	609591	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""155867598_155881195""}"	Noonan spectrum disorder	615355	AD	CARDIOVASCULAR	polyhydramnios, Hydrops. Prenatal and Neonatal demise.	M,F	Known	34306696; 30293990		x	x	
name: ROBO3; id: 64221;	608630	Unknown	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""124,865,432-124,881,471""}"	Gaze palsy, familial horizontal, with progressive scoliosis, 1	607313	AR		Spontaneous miscarriage	unknown	Candidate	37398382			x	x
